5.258571429,4.83,4.6,2.0727469204
5.266842105,4.56,4.5,2.4071043132
5.260909091,4.65,4.4,2.7714532942
5.243333333,4.63,4.5,2.6364244327
5.249545455,4.9,4.4,2.6700912623
5.253809524,5.03,4.6,2.592163753
5.262857143,4.78,4.6,2.3145539029
5.035217391,4.54,4.6,1.9306773443
4.966315789,4.59,4.7,2.7240182793
4.748636364,4.48,4.7,3.5406365357
4.4965,3.97,4.7,4.235744877
4.219,4.04,5,4.0214424463
3.931428571,3.67,5,4.2610218269
2.9625,3.53,4.8,4.0512925819
2.602857143,3.45,5.1,3.9307444178
2.267727273,3.77,5,3.8794099636
1.993333333,4.06,5.4,3.9978128776
2.001428571,3.99,5.5,4.7488079155
2.019090909,3.99,5.8,5.3678588951
1.986190476,3.83,6.1,5.2106991204
1.864285714,3.85,6.2,4.8414856486
1.017272727,4.01,6.6,3.6439386873
0.387222222,2.93,6.9,1.0305451833
0.170909091,2.25,7.4,-0.044941375915
0.157,2.87,7.7,-0.12541728819
0.223684211,3.02,8.2,0.08177076446
0.182727273,2.71,8.6,-0.42235143241
0.153181818,3.16,8.9,-0.60714706461
0.1745,3.47,9.4,-1.0445141737
0.207727273,3.53,9.5,-1.2602143915
0.156956522,3.52,9.4,-1.9951062334
0.16047619,3.4,9.7,-1.4794960724
0.146190476,3.31,9.8,-1.3502000374
0.117619048,3.41,10.1,-0.21930390216
0.12,3.21,10,1.8316774759
0.118636364,3.85,10,2.7465599903
0.116842105,3.63,9.7,2.6205910808
0.125789474,3.61,9.7,2.1902619709
0.16173913,3.84,9.7,2.3636466992
0.197727273,3.69,9.9,2.2162254127
0.2025,3.31,9.7,1.9402199247
0.176363636,2.97,9.5,1.0990012974
0.181904762,2.94,9.5,1.3058415644
0.189545455,2.47,9.6,1.1915772414
0.193809524,2.53,9.6,1.1333744787
0.1905,2.63,9.6,1.1589244582
